time,open,high,low,close,tick_volume,spread,real_volume
2026.06.03 00:00:00,4474.2,4478.52,4473.87,4478.42,191,43,0
2026.06.03 00:01:00,4478.43,4479.17,4477.7,4478.35,181,43,0
2026.06.03 00:02:00,4478.51,4478.51,4476.96,4477.0,147,43,0
2026.06.03 00:03:00,4476.69,4478.93,4476.69,4478.15,138,43,0
2026.06.03 00:04:00,4478.16,4479.12,4478.16,4478.53,153,43,0
2026.06.03 00:05:00,4478.49,4479.17,4477.65,4478.75,131,43,0
2026.06.03 00:06:00,4478.76,4479.73,4477.9,4478.58,145,43,0
2026.06.03 00:07:00,4478.6,4478.73,4475.81,4475.97,148,43,0
2026.06.03 00:08:00,4475.96,4476.38,4475.32,4475.65,136,43,0
2026.06.03 00:09:00,4475.68,4476.87,4475.4,4476.53,148,43,0
2026.06.03 00:10:00,4476.52,4476.65,4474.72,4475.5,131,43,0
2026.06.03 00:11:00,4475.49,4476.63,4475.47,4476.22,103,43,0
2026.06.03 00:12:00,4476.31,4476.31,4474.82,4474.88,140,43,0
2026.06.03 00:13:00,4474.81,4476.63,4474.08,4475.95,157,43,0
2026.06.03 00:14:00,4475.96,4476.56,4475.57,4475.73,140,43,0
2026.06.03 00:15:00,4475.77,4475.8,4474.22,4475.29,163,43,0
2026.06.03 00:16:00,4475.32,4476.1,4474.6,4475.56,126,43,0
2026.06.03 00:17:00,4475.56,4478.92,4475.56,4478.55,127,43,0
2026.06.03 00:18:00,4478.3,4479.09,4477.62,4477.8,130,43,0
2026.06.03 00:19:00,4477.78,4477.97,4477.22,4477.4,125,43,0
2026.06.03 00:20:00,4477.37,4478.31,4477.14,4477.85,124,43,0
2026.06.03 00:21:00,4477.83,4482.34,4477.76,4481.67,138,43,0
2026.06.03 00:22:00,4481.67,4482.08,4480.29,4480.78,146,43,0
2026.06.03 00:23:00,4480.85,4481.31,4479.7,4479.92,146,43,0
2026.06.03 00:24:00,4479.94,4479.98,4478.66,4478.73,153,43,0
2026.06.03 00:25:00,4478.73,4479.37,4478.62,4479.2,126,43,0
2026.06.03 00:26:00,4479.37,4480.44,4479.12,4479.99,110,43,0
2026.06.03 00:27:00,4480.0,4481.1,4479.61,4481.1,110,43,0
2026.06.03 00:28:00,4481.09,4482.94,4481.05,4482.78,112,43,0
2026.06.03 00:29:00,4482.72,4483.16,4482.31,4482.99,129,43,0
2026.06.03 00:30:00,4482.99,4483.93,4482.95,4483.09,146,43,0
2026.06.03 00:31:00,4483.08,4483.51,4481.11,4482.87,156,43,0
2026.06.03 00:32:00,4482.85,4482.85,4481.44,4481.84,131,43,0
2026.06.03 00:33:00,4481.82,4484.66,4481.77,4483.98,127,43,0
2026.06.03 00:34:00,4484.13,4485.17,4484.11,4484.94,106,43,0
2026.06.03 00:35:00,4484.95,4487.57,4484.53,4487.43,127,43,0
2026.06.03 00:36:00,4487.42,4487.43,4485.72,4486.22,145,43,0
2026.06.03 00:37:00,4486.22,4487.14,4486.22,4487.05,148,43,0
2026.06.03 00:38:00,4487.09,4488.45,4486.91,4487.93,124,43,0
2026.06.03 00:39:00,4487.92,4491.72,4487.92,4491.45,183,43,0
2026.06.03 00:40:00,4491.46,4494.16,4491.27,4494.16,178,43,0
2026.06.03 00:41:00,4494.18,4496.12,4493.92,4495.48,189,43,0
2026.06.03 00:42:00,4495.53,4496.33,4493.86,4495.15,187,43,0
2026.06.03 00:43:00,4495.32,4496.68,4494.49,4494.49,191,43,0
2026.06.03 00:44:00,4494.68,4496.36,4494.21,4495.75,167,43,0
2026.06.03 00:45:00,4495.8,4495.83,4493.4,4493.4,176,43,0
2026.06.03 00:46:00,4493.41,4494.2,4491.27,4491.88,183,43,0
2026.06.03 00:47:00,4491.86,4492.22,4490.95,4491.02,144,43,0
2026.06.03 00:48:00,4490.99,4491.03,4489.52,4489.94,125,43,0
2026.06.03 00:49:00,4489.68,4491.25,4489.0,4490.91,127,43,0
2026.06.03 00:50:00,4491.01,4491.81,4490.67,4491.3,133,43,0
2026.06.03 00:51:00,4491.41,4492.02,4491.0,4491.44,127,43,0
2026.06.03 00:52:00,4491.27,4492.09,4489.96,4490.5,146,43,0
2026.06.03 00:53:00,4490.54,4490.54,4488.98,4489.07,151,43,0
2026.06.03 00:54:00,4489.05,4489.43,4488.65,4488.99,152,43,0
2026.06.03 00:55:00,4488.96,4489.0,4487.39,4488.0,148,43,0
2026.06.03 00:56:00,4487.99,4488.31,4486.93,4488.03,142,43,0
2026.06.03 00:57:00,4488.04,4488.91,4487.18,4487.18,146,43,0
2026.06.03 00:58:00,4487.19,4488.04,4485.87,4485.92,125,43,0
2026.06.03 00:59:00,4485.9,4487.3,4485.87,4486.04,137,43,0
2026.06.03 01:00:00,4486.03,4487.31,4480.27,4481.18,221,43,0
2026.06.03 01:01:00,4481.1,4481.97,4474.57,4474.71,237,43,0
2026.06.03 01:02:00,4474.86,4476.29,4473.27,4476.21,220,43,0
2026.06.03 01:03:00,4476.13,4479.08,4475.14,4477.05,184,43,0
2026.06.03 01:04:00,4476.93,4477.49,4473.31,4473.71,188,43,0
2026.06.03 01:05:00,4473.64,4475.47,4471.6,4473.94,197,43,0
2026.06.03 01:06:00,4474.03,4474.03,4469.7,4470.53,221,43,0
2026.06.03 01:07:00,4470.74,4470.97,4467.06,4467.53,188,43,0
2026.06.03 01:08:00,4467.46,4471.95,4467.35,4471.4,236,43,0
2026.06.03 01:09:00,4471.49,4474.21,4471.04,4474.15,228,43,0
2026.06.03 01:10:00,4474.12,4477.37,4473.03,4476.76,204,43,0
2026.06.03 01:11:00,4476.87,4476.96,4474.83,4476.04,190,43,0
2026.06.03 01:12:00,4475.74,4475.74,4471.01,4471.23,218,43,0
2026.06.03 01:13:00,4471.24,4473.18,4468.69,4472.45,270,43,0
