time,open,high,low,close,tick_volume,spread,real_volume
2026.06.14 22:01:00,4276.19,4276.6,4266.1,4268.0,127,44,0
2026.06.14 22:02:00,4267.99,4285.38,4267.99,4285.38,197,112,0
2026.06.14 22:03:00,4286.04,4297.21,4284.45,4296.83,196,43,0
2026.06.14 22:04:00,4296.83,4300.73,4296.13,4300.19,191,63,0
2026.06.14 22:05:00,4300.18,4300.51,4294.13,4298.32,358,43,0
2026.06.14 22:06:00,4298.35,4304.26,4297.12,4300.94,297,43,0
2026.06.14 22:07:00,4300.94,4305.91,4298.24,4300.78,352,44,0
2026.06.14 22:08:00,4300.69,4307.63,4300.36,4305.4,364,43,0
2026.06.14 22:09:00,4305.48,4308.73,4304.12,4306.01,343,43,0
2026.06.14 22:10:00,4306.03,4306.03,4298.63,4304.08,364,43,0
2026.06.14 22:11:00,4304.09,4305.07,4301.33,4301.33,333,43,0
2026.06.14 22:12:00,4301.34,4304.5,4298.92,4299.49,356,43,0
2026.06.14 22:13:00,4299.47,4302.8,4298.35,4300.22,355,43,0
2026.06.14 22:14:00,4300.23,4300.23,4295.35,4299.83,348,43,0
2026.06.14 22:15:00,4299.85,4302.45,4297.28,4297.9,311,43,0
2026.06.14 22:16:00,4297.89,4302.14,4297.72,4300.66,307,43,0
2026.06.14 22:17:00,4300.37,4301.93,4298.2,4300.12,263,43,0
2026.06.14 22:18:00,4300.1,4304.13,4299.68,4303.94,321,43,0
2026.06.14 22:19:00,4303.93,4305.39,4303.2,4305.28,293,43,0
2026.06.14 22:20:00,4305.32,4305.87,4304.0,4304.87,244,43,0
2026.06.14 22:21:00,4304.87,4306.15,4304.02,4306.07,210,43,0
2026.06.14 22:22:00,4306.07,4306.37,4304.85,4305.27,236,43,0
2026.06.14 22:23:00,4305.18,4305.3,4299.78,4300.22,288,43,0
2026.06.14 22:24:00,4300.38,4301.13,4297.79,4298.36,312,43,0
2026.06.14 22:25:00,4298.37,4298.37,4287.59,4289.41,384,43,0
2026.06.14 22:26:00,4289.32,4291.48,4285.49,4285.8,387,43,0
2026.06.14 22:27:00,4285.8,4286.82,4283.72,4284.9,334,43,0
